Estado,Ano,Mes,Qtd_Focos,Media_Risco,Media_DiasSemChuva,Media_FRP
ESPÍRITO SANTO,2017,7,67,0.98,0.0,14.9
ESPÍRITO SANTO,2017,8,284,0.9698841698841698,0.0,18.297777777777778
ESPÍRITO SANTO,2017,9,479,0.9551797040169133,0.3695198329853862,22.46875
ESPÍRITO SANTO,2017,10,659,0.8698564593301435,0.0,31.925742574257427
ESPÍRITO SANTO,2017,11,106,0.8065217391304348,0.0,15.447058823529414
ESPÍRITO SANTO,2017,12,85,0.5365060240963856,0.11764705882352941,7.199999999999999
ESPÍRITO SANTO,2018,1,219,0.6092307692307692,0.0,18.955555555555556
ESPÍRITO SANTO,2018,2,65,0.07115384615384615,0.0,14.350000000000001
ESPÍRITO SANTO,2018,3,99,0.24625,0.16161616161616163,28.02
ESPÍRITO SANTO,2018,4,77,0.4640625,0.0,8.608333333333333
ESPÍRITO SANTO,2018,5,76,0.8192982456140352,2.2,4.752941176470588
ESPÍRITO SANTO,2018,6,118,0.9363636363636364,11.28888888888889,6.674193548387097
ESPÍRITO SANTO,2018,7,357,0.9796923076923076,24.263157894736842,6.975090252707581
ESPÍRITO SANTO,2018,8,163,0.8999999999999999,8.296875,5.452173913043478
ESPÍRITO SANTO,2018,9,467,0.8974537037037037,9.577720207253886,10.657142857142857
ESPÍRITO SANTO,2018,10,324,0.9123417721518988,7.34113712374582,10.262585034013604
ESPÍRITO SANTO,2018,11,210,0.42857142857142855,2.7823834196891193,23.413432835820895
ESPÍRITO SANTO,2018,12,187,0.35909090909090907,5.5479452054794525,15.272000000000002
ESPÍRITO SANTO,2019,1,875,0.6201846965699209,12.296350364963503,8.863976377952755
ESPÍRITO SANTO,2019,2,620,0.650513698630137,10.460348162475823,11.036562499999999
ESPÍRITO SANTO,2019,3,565,0.7820564516129032,4.164383561643835,7.437414965986394
ESPÍRITO SANTO,2019,4,334,0.8363636363636364,9.567961165048544,14.36993865030675
ESPÍRITO SANTO,2019,5,232,0.8990909090909092,7.870466321243524,6.572307692307692
ESPÍRITO SANTO,2019,6,403,0.9509043927648578,21.12,7.545454545454546
ESPÍRITO SANTO,2019,7,1008,0.953950103950104,35.965811965811966,10.951186440677965
ESPÍRITO SANTO,2019,8,884,0.9603948896631823,25.454545454545453,11.01244131455399
ESPÍRITO SANTO,2019,9,2206,0.9660194174757282,14.66410009624639,18.413119266055045
ESPÍRITO SANTO,2019,10,1107,0.9031339031339032,9.96999031945789,11.744173913043477
ESPÍRITO SANTO,2019,11,2519,0.9136731391585761,6.21859410430839,18.479516129032255
ESPÍRITO SANTO,2019,12,306,0.49718309859154924,6.311538461538461,7.816901408450704
ESPÍRITO SANTO,2020,1,277,0.3789105058365759,5.122727272727273,8.43918918918919
ESPÍRITO SANTO,2020,2,175,0.14761904761904762,3.72992700729927,10.047899159663865
ESPÍRITO SANTO,2020,3,145,0.5194690265486726,5.121212121212121,6.498611111111112
ESPÍRITO SANTO,2020,4,130,0.6990434782608695,6.712871287128713,6.072602739726028
ESPÍRITO SANTO,2020,5,277,0.7287029288702929,6.394230769230769,4.578321678321679
ESPÍRITO SANTO,2020,6,472,0.8837962962962963,15.83502538071066,5.973928571428572
ESPÍRITO SANTO,2020,7,442,0.9675609756097561,42.521628498727736,6.698920863309352
ESPÍRITO SANTO,2020,8,436,0.9495781637717122,35.44477611940299,7.8788
ESPÍRITO SANTO,2020,9,2163,0.9632369942196533,29.71509648127128,10.931071428571428
ESPÍRITO SANTO,2020,10,897,0.8840115606936416,10.045212765957446,13.716666666666667
ESPÍRITO SANTO,2020,11,222,0.6117619047619047,3.6717948717948716,9.76183574879227
ESPÍRITO SANTO,2020,12,440,0.6041775456919061,4.930599369085174,7.504947916666667
ESPÍRITO SANTO,2021,1,1036,0.7008421052631578,7.034188034188034,10.047964796479649
ESPÍRITO SANTO,2021,2,303,0.46753731343283583,6.211267605633803,11.83030303030303
ESPÍRITO SANTO,2021,3,848,0.3547619047619048,6.293706293706293,10.088888888888889
ESPÍRITO SANTO,2021,4,405,0.6542553191489362,5.922360248447205,7.601916932907349
ESPÍRITO SANTO,2021,5,714,0.705443234836703,7.042889390519187,7.3634408602150545
ESPÍRITO SANTO,2021,6,581,0.847912885662432,14.720670391061452,6.964298724954463
ESPÍRITO SANTO,2021,7,1245,0.9557805907172995,41.955161626694476,7.246221441124781
ESPÍRITO SANTO,2021,8,1581,0.9403554970375247,14.532929598788796,8.931957295373666
ESPÍRITO SANTO,2021,9,2294,0.9163465832961143,11.287004515805318,10.873448461953588
ESPÍRITO SANTO,2021,10,742,0.8969821673525377,9.962418300653594,11.087741935483871
ESPÍRITO SANTO,2021,11,170,0.4333333333333333,2.5354330708661417,13.77935483870968
ESPÍRITO SANTO,2021,12,50,0.09782608695652174,1.0930232558139534,6.304545454545454
ESPÍRITO SANTO,2022,1,469,0.09858490566037735,4.889285714285714,9.304411764705883
ESPÍRITO SANTO,2022,2,127,0.08018867924528301,2.9591836734693877,6.7926229508196725
ESPÍRITO SANTO,2022,3,544,0.4650423728813559,8.162162162162161,6.283960396039604
ESPÍRITO SANTO,2022,4,535,0.6179916317991632,7.808049535603715,6.727650727650728
ESPÍRITO SANTO,2022,5,657,0.799351081530782,6.4910891089108915,9.197079037800687
ESPÍRITO SANTO,2022,6,938,0.9322569444444445,14.590250329380764,8.031084337349398
ESPÍRITO SANTO,2022,7,814,0.967882037533512,32.352348993288594,8.942912371134021
