Estado,Ano,Mes,Internacoes
BA,2022,8,6159
BA,2022,9,5811
BA,2022,10,5848
BA,2022,11,5408
BA,2022,12,5168
BA,2023,1,4619
BA,2023,2,4473
BA,2023,3,7465
BA,2023,4,7771
BA,2023,5,9034
BA,2023,6,7985
BA,2023,7,7565
BA,2023,8,7352
BA,2023,9,6513
BA,2023,10,6627
BA,2023,11,5852
BA,2023,12,5247
BA,2024,1,4710
BA,2024,2,4453
BA,2024,3,6945
BA,2024,4,8656
BA,2024,5,9357
BA,2024,6,7879
BA,2024,7,7934
BA,2024,8,7712
BA,2024,9,7403
BA,2024,10,7173
BA,2024,11,6013
BA,2024,12,5578
BA,2025,1,5078
BA,2025,2,4673
BA,2025,3,6112
BA,2025,4,6879
BA,2025,5,9126
BA,2025,6,9984
BA,2025,7,9369
BA,2025,8,8728
BA,2025,9,7698
BA,2025,10,6618
BA,2025,11,5078
BA,2025,12,3136
CE,2016,1,2875
CE,2016,2,3332
CE,2016,3,3830
CE,2016,4,4242
CE,2016,5,4460
CE,2016,6,4284
CE,2016,7,3507
CE,2016,8,3302
CE,2016,9,3413
CE,2016,10,3156
CE,2016,11,3076
CE,2016,12,3044
CE,2017,1,3686
CE,2017,2,4387
CE,2017,3,6938
CE,2017,4,5310
CE,2017,5,4558
CE,2017,6,3835
CE,2017,7,3552
CE,2017,8,3459
CE,2017,9,3609
CE,2017,10,3563
CE,2017,11,3355
CE,2017,12,3348
CE,2018,1,3539
CE,2018,2,3177
CE,2018,3,4523
CE,2018,4,5773
CE,2018,5,5887
CE,2018,6,5139
CE,2018,7,4480
CE,2018,8,4192
CE,2018,9,3966
CE,2018,10,4089
CE,2018,11,3678
CE,2018,12,3329
CE,2019,1,3841
CE,2019,2,4500
CE,2019,3,6007
CE,2019,4,6169
CE,2019,5,6072
CE,2019,6,4683
CE,2019,7,4092
CE,2019,8,4151
CE,2019,9,4174
CE,2019,10,4264
CE,2019,11,3960
CE,2019,12,3655
CE,2020,1,3463
CE,2020,2,3771
CE,2020,3,4670
CE,2020,4,2234
CE,2020,5,1863
CE,2020,6,1728
CE,2020,7,1822
CE,2020,8,1828
CE,2020,9,1970
CE,2020,10,2037
CE,2020,11,1911
CE,2020,12,1954
CE,2021,1,2020
CE,2021,2,2090
CE,2021,3,2748
CE,2021,4,2424
CE,2021,5,2890
CE,2021,6,2834
CE,2021,7,2831
CE,2021,8,2829
CE,2021,9,2716
CE,2021,10,2960
CE,2021,11,3160
CE,2021,12,3690
CE,2022,1,5163
CE,2022,2,2747
CE,2022,3,4625
CE,2022,4,6571
CE,2022,5,8045
CE,2022,6,6184
CE,2022,7,4346
CE,2022,8,4822
CE,2022,9,4584
CE,2022,10,4692
CE,2022,11,4254
CE,2022,12,3780
CE,2023,1,3226
CE,2023,2,4037
CE,2023,3,6085
CE,2023,4,7655
CE,2023,5,8920
CE,2023,6,6908
CE,2023,7,5027
CE,2023,8,4896
CE,2023,9,4905
CE,2023,10,5012
CE,2023,11,4867
CE,2023,12,4367
CE,2024,1,3611
CE,2024,2,3979
CE,2024,3,5636
CE,2024,4,7468
CE,2024,5,7816
CE,2024,6,7432
CE,2024,7,5533
CE,2024,8,5053
CE,2024,9,5342
CE,2024,10,4819
CE,2024,11,4244
CE,2024,12,3654
CE,2025,1,3374
CE,2025,2,3779
CE,2025,3,5506
CE,2025,4,7590
CE,2025,5,9843
CE,2025,6,7575
CE,2025,7,5353
CE,2025,8,4887
CE,2025,9,4994
CE,2025,10,4668
CE,2025,11,3764
CE,2025,12,2542
DF,2016,1,660
DF,2016,2,627
DF,2016,3,1155
DF,2016,4,1190
DF,2016,5,1225
DF,2016,6,1215
DF,2016,7,1153
DF,2016,8,913
DF,2016,9,888
DF,2016,10,908
DF,2016,11,815
DF,2016,12,956
DF,2017,1,859
DF,2017,2,1114
DF,2017,3,1773
DF,2017,4,1424
DF,2017,5,1375
DF,2017,6,1262
DF,2017,7,1015
DF,2017,8,944
DF,2017,9,928
DF,2017,10,970
DF,2017,11,802
DF,2017,12,814
DF,2018,1,843
DF,2018,2,762
DF,2018,3,1436
DF,2018,4,1549
DF,2018,5,1517
DF,2018,6,1102
DF,2018,7,951
DF,2018,8,973
DF,2018,9,1004
DF,2018,10,1012
DF,2018,11,1188
DF,2018,12,1183
DF,2019,1,907
DF,2019,2,1074
DF,2019,3,1911
DF,2019,4,2119
DF,2019,5,1907
DF,2019,6,1564
DF,2019,7,1394
DF,2019,8,1342
DF,2019,9,1130
DF,2019,10,1113
DF,2019,11,967
DF,2019,12,1024
DF,2020,1,781
DF,2020,2,1038
DF,2020,3,1357
DF,2020,4,736
DF,2020,5,750
DF,2020,6,831
DF,2020,7,892
DF,2020,8,779
DF,2020,9,634
DF,2020,10,705
DF,2020,11,734
DF,2020,12,685
DF,2021,1,685
DF,2021,2,776
DF,2021,3,1239
DF,2021,4,895
DF,2021,5,987
DF,2021,6,821
DF,2021,7,868
DF,2021,8,963
DF,2021,9,1078
DF,2021,10,1148
DF,2021,11,1312
DF,2021,12,1740
DF,2022,1,1704
DF,2022,2,1061
DF,2022,3,2049
DF,2022,4,1843
DF,2022,5,1806
DF,2022,6,1655
DF,2022,7,1327
DF,2022,8,1252
DF,2022,9,1227
DF,2022,10,1107
DF,2022,11,1048
DF,2022,12,1294
DF,2023,1,1241
DF,2023,2,1593
DF,2023,3,2382
DF,2023,4,2055
DF,2023,5,1865
DF,2023,6,1609
DF,2023,7,1439
DF,2023,8,1433
DF,2023,9,1160
DF,2023,10,1274
DF,2023,11,1268
DF,2023,12,1122
DF,2024,1,931
DF,2024,2,1060
DF,2024,3,1956
DF,2024,4,2301
DF,2024,5,2059
DF,2024,6,1665
DF,2024,7,1465
DF,2024,8,1434
DF,2024,9,1382
DF,2024,10,1261
DF,2024,11,1302
DF,2024,12,1480
DF,2025,1,1182
DF,2025,2,1236
DF,2025,3,1948
DF,2025,4,2043
DF,2025,5,2129
DF,2025,6,1696
DF,2025,7,1492
DF,2025,8,1454
DF,2025,9,1583
DF,2025,10,1191
DF,2025,11,1009
DF,2025,12,854
ES,2016,1,1192
ES,2016,2,1138
ES,2016,3,1690
ES,2016,4,2251
ES,2016,5,2567
ES,2016,6,2295
ES,2016,7,2146
ES,2016,8,2105
ES,2016,9,2024
ES,2016,10,2024
ES,2016,11,1695
ES,2016,12,1603
ES,2017,1,1386
ES,2017,2,1171
ES,2017,3,1929
ES,2017,4,2053
ES,2017,5,2348
ES,2017,6,2224
ES,2017,7,2043
ES,2017,8,2258
ES,2017,9,2020
ES,2017,10,1960
ES,2017,11,1751
ES,2017,12,1509
ES,2018,1,1363
ES,2018,2,1261
ES,2018,3,2014
ES,2018,4,2377
ES,2018,5,2643
ES,2018,6,2040
ES,2018,7,1973
ES,2018,8,2041
ES,2018,9,1827
ES,2018,10,1897
ES,2018,11,1654
ES,2018,12,1684
ES,2019,1,1326
ES,2019,2,1179
ES,2019,3,1736
ES,2019,4,2046
ES,2019,5,2212
ES,2019,6,1999
ES,2019,7,2215
ES,2019,8,2074
ES,2019,9,2014
ES,2019,10,2029
ES,2019,11,1607
ES,2019,12,1660
ES,2020,1,1280
ES,2020,2,1269
ES,2020,3,1562
ES,2020,4,1220
ES,2020,5,1017
ES,2020,6,1113
ES,2020,7,1316
ES,2020,8,1239
ES,2020,9,1132
ES,2020,10,1225
ES,2020,11,1354
ES,2020,12,1710
ES,2021,1,1401
ES,2021,2,1473
ES,2021,3,1828
ES,2021,4,1443
ES,2021,5,1587
ES,2021,6,1552
ES,2021,7,1710
ES,2021,8,1633
ES,2021,9,1287
ES,2021,10,1317
ES,2021,11,1453
ES,2021,12,2190
ES,2022,1,2311
ES,2022,2,1243
ES,2022,3,1836
ES,2022,4,1969
ES,2022,5,2281
ES,2022,6,2558
ES,2022,7,2111
ES,2022,8,1936
ES,2022,9,1980
ES,2022,10,1804
ES,2022,11,1670
ES,2022,12,1518
ES,2023,1,1412
ES,2023,2,1535
ES,2023,3,2417
ES,2023,4,2450
ES,2023,5,2548
ES,2023,6,2335
ES,2023,7,2280
ES,2023,8,2240
ES,2023,9,1940
ES,2023,10,1902
ES,2023,11,1650
ES,2023,12,1503
ES,2024,1,1398
ES,2024,2,1442
ES,2024,3,2324
ES,2024,4,2720
ES,2024,5,2689
ES,2024,6,2501
ES,2024,7,2635
ES,2024,8,2637
ES,2024,9,2497
ES,2024,10,2355
ES,2024,11,2012
ES,2024,12,1715
ES,2025,1,1609
ES,2025,2,1536
ES,2025,3,2018
ES,2025,4,2812
ES,2025,5,3382
ES,2025,6,2786
ES,2025,7,2511
ES,2025,8,2295
ES,2025,9,2242
ES,2025,10,2246
ES,2025,11,1682
ES,2025,12,742
GO,2016,1,2678
GO,2016,2,2871
GO,2016,3,3990
GO,2016,4,4209
GO,2016,5,4126
GO,2016,6,3658
GO,2016,7,3308
GO,2016,8,2858
GO,2016,9,2924
GO,2016,10,2757
GO,2016,11,2492
GO,2016,12,2632
GO,2017,1,2682
GO,2017,2,3423
GO,2017,3,4783
GO,2017,4,4290
GO,2017,5,3942
GO,2017,6,3443
GO,2017,7,3201
GO,2017,8,3094
GO,2017,9,3013
GO,2017,10,3162
GO,2017,11,2622
GO,2017,12,2571
GO,2018,1,2607
